runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,quantization_method,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb
ishapira,lenet,MNIST,l2,0.003,2023-11-19_15-10-48,,CrossEntropyLoss,Adam,True,0.051221463362375895,0.0496014805495739,98.62666666666667,98.49,"[0.16207377226352693, 0.11073247430721919, 0.08757284826437632, 0.07382876790761948, 0.07132997742493948, 0.07131203300555547, 0.06152856124440829, 0.05828022922476133, 0.05878856073021889, 0.06841463803450266, 0.0616474199851354, 0.0565593442817529, 0.05436126140256723, 0.05524301888744036, 0.05542722128033638, 0.057433345953623455, 0.05877712856133779, 0.05293064339160919, 0.05009320761958758, 0.051221463362375895]","[0.1468647837281227, 0.09997811116278171, 0.07967862287610769, 0.06663889597952366, 0.06299574391543865, 0.06733712787628174, 0.05555312944799662, 0.0533029404707253, 0.055603638914972546, 0.06660550622493029, 0.05740689471065998, 0.052560156904906036, 0.05215080543905497, 0.051186928682029245, 0.052947917887941, 0.051605973391979934, 0.06010455308929086, 0.04678916845619679, 0.04888823566921055, 0.0496014805495739]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,661.1356933042407,14.66200153902173,0.43908780813217163,-0.40431535243988037,0.16947174072265625
ishapira,resnet18,CIFAR-10,l2,0.001,2023-11-18_14-47-35,,,,,0.3217996944999695,0.8361646119117737,88.774,74.66,,,,0.001,cuda:0,256,42,False,20.0,11172042,9760.320379972458,78.45433330535889,0.3922814130783081,-0.3162399232387543,42.617958068847656
ishapira,lenet,MNIST,l2,0.0009,2023-11-19_15-03-48,,CrossEntropyLoss,Adam,True,0.028207199995716414,0.03791829945249483,99.16666666666667,98.68,"[0.16572196311752002, 0.09419042661984761, 0.065650996418794, 0.058402965092659, 0.05505766293207805, 0.04566750238339106, 0.04016497067014376, 0.039183585302035015, 0.036674295196930565, 0.03777447913587093, 0.030563225756088892, 0.036632956660787266, 0.02697221779823303, 0.030856077636778355, 0.03494119953711827, 0.029215917749206226, 0.026257102955381077, 0.034306238300601644, 0.028031186892837286, 0.028207199995716414]","[0.1557091903537512, 0.0868790797367692, 0.06226515946760774, 0.05776873686574399, 0.05534547476861626, 0.04789638991169631, 0.04180178713453934, 0.03953746764548123, 0.04074749698517844, 0.04213492994299158, 0.03598911288324744, 0.03881036093756556, 0.03380895204488188, 0.036675529229827225, 0.04440526511622593, 0.03527452600011602, 0.03496336471494287, 0.039953895747847856, 0.03532698481255211, 0.03791829945249483]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,924.6733871102333,18.243204548954964,0.5697060227394104,-0.5109911561012268,0.16947174072265625
ishapira,lenet,MNIST,l1,0.0008,2023-11-19_14-07-40,,CrossEntropyLoss,Adam,True,0.07273923796812694,0.06447739304080606,97.8,98.15,"[0.24225986757278442, 0.16000790750980376, 0.1370179097811381, 0.11716414717833201, 0.11024714926083883, 0.10019045839309693, 0.09342154631614685, 0.09190054742892584, 0.09280720403591791, 0.09302539484103521, 0.09538896447022756, 0.07972738919854164, 0.08641010508934657, 0.08663145535786947, 0.08425772554477055, 0.07553715287049612, 0.07362747311194738, 0.07618636734386285, 0.07448877385457357, 0.07273923796812694]","[0.22180842151641847, 0.14069467261433602, 0.12158027900457383, 0.10633524683713913, 0.09711389159560203, 0.0879517854243517, 0.08452751829773188, 0.08421815397143365, 0.08718488801717758, 0.08366025267243385, 0.09122634106725454, 0.07056825949549675, 0.0761672734618187, 0.0781042244836688, 0.07736427404582501, 0.0683666511207819, 0.06325228001624346, 0.06869604690521955, 0.06585468353778123, 0.06447739304080606]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,209.97395565686747,16.527471831301227,0.8802018761634827,-0.759631872177124,0.16947174072265625
ishapira,resnet18,CIFAR-10,dropout,0.7,2023-11-18_14-02-19,,,,,0.6104378954315186,1.00319977350235,87.522,69.15,,,,0.001,cuda:0,256,42,False,20.0,11172042,293901.5327503681,543.5685717463493,0.5941002368927002,-0.5247220396995544,42.617958068847656
ishapira,lenet,FashionMNIST,l2,0.0006,2023-11-19_15-24-39,,CrossEntropyLoss,Adam,True,0.24843841292858124,0.31400006232261657,90.91666666666667,88.52,"[0.5757165126800537, 0.47739729317029317, 0.4170861081600189, 0.38399087907473245, 0.3560924631913503, 0.3491467745621999, 0.32620288185278573, 0.3375471985816956, 0.30164158833821614, 0.2965717582861582, 0.2873624154567718, 0.2850421369711558, 0.3122238678773244, 0.2775748596350352, 0.26524475785096485, 0.2552925700823466, 0.25843582491874695, 0.3023314812342326, 0.24960168845653533, 0.24843841292858124]","[0.6002294503688812, 0.5015894123077392, 0.4452144199371338, 0.4151212279319763, 0.39247889504432676, 0.3874135282754898, 0.3675318034172058, 0.37872574377059937, 0.34487819554805754, 0.34245230696201323, 0.3377737498998642, 0.3342069042444229, 0.3642597400188446, 0.33346362495422366, 0.3207929592370987, 0.3140302995681763, 0.3210099896669388, 0.36276695590019226, 0.3088553260564804, 0.31400006232261657]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,1327.4064868688583,24.372995540499687,0.5673084855079651,-0.5555520057678223,0.16947174072265625
ishapira,lenet,MNIST,l_infinty,10.0,2023-11-18_20-25-02,,CrossEntropyLoss,Adam,True,0.008230986431861917,0.03611358255650848,99.72166666666666,99.01,"[0.13709163109461467, 0.08788573658068975, 0.0615064345429341, 0.06468521526654561, 0.040329722785453, 0.03215986916621526, 0.03377587219402194, 0.030635229566693307, 0.028215860237181187, 0.018822538148363432, 0.01960183219710986, 0.0201454331745704, 0.022569265484809874, 0.015086572611828645, 0.014002120340367158, 0.011096354276438554, 0.014933465985457103, 0.012590717184046904, 0.010629130343471965, 0.008230986431861917]","[0.1264128914564848, 0.08060493198931218, 0.05749283734736964, 0.06163224911368452, 0.04183081275559962, 0.03458381160665303, 0.03980284707732499, 0.037773582938592884, 0.03868044711071998, 0.03147113455461804, 0.033177081843139604, 0.0367258092100732, 0.04031092339587631, 0.032613841815199704, 0.031965884647099305, 0.03052406153360498, 0.03582994818366424, 0.039515079754957695, 0.03814425504063256, 0.03611358255650848]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2867.365735948086,36.20083487033844,0.5426867008209229,-0.4606715440750122,0.16947174072265625
ishapira,lenet,MNIST,l1,0.0005,2023-11-18_18-47-38,,CrossEntropyLoss,Adam,True,0.06348399971922239,0.06079153554141521,98.135,98.19,"[0.19854697620868683, 0.12544484796921412, 0.10679865339199703, 0.10257369403044382, 0.09072473551630973, 0.10122342007160187, 0.08030544596711794, 0.08294031121730805, 0.07216471452713012, 0.07389834620157877, 0.06888184862931569, 0.06832859155933062, 0.0626940975745519, 0.07024122234582901, 0.06366658124923706, 0.06511354831457138, 0.07053236691057682, 0.0606735768198967, 0.056324614508946734, 0.06348399971922239]","[0.179718150472641, 0.11036602462530136, 0.09429806253612041, 0.08975511173009873, 0.07989004493206739, 0.09284918157458305, 0.06845395048558713, 0.07410197427943349, 0.06645952564626932, 0.06529654254093767, 0.061560480719804765, 0.06515663629844785, 0.05602123905047774, 0.06587113510593771, 0.05707023428231478, 0.05940092474222183, 0.06417204593196511, 0.055311897975951436, 0.054081833730451764, 0.06079153554141521]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,264.3560494654812,17.468391014495865,0.9970716834068298,-0.6497988700866699,0.16947174072265625
ishapira,resnet18,CIFAR-10,none,,2023-11-18_13-45-33,,,,,0.07689098008155823,1.5548721128463745,97.512,70.28,,,,0.001,cuda:0,256,42,False,20.0,11679912,307789.4666557312,604.619668841362,0.5943582653999329,-1.1360790729522705,44.555328369140625
ishapira,resnet18,CIFAR-10,dropout,0.3,2023-11-18_13-51-08,,,,,0.15181026590824126,1.3217635751724244,95.246,69.69,,,,0.001,cuda:0,256,42,False,20.0,11172042,312904.89956355095,586.4602912068367,0.6055442690849304,-0.582756757736206,42.617958068847656
