runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
alexo,lenet,MNIST,l2,0.001,0.04808763686418533,0.047007304108142856,98.55333333333333,98.41,2023-11-18_11-34-50,,0.001,cpu,256,42,249627,1546.4192664176226,23.34269480407238,0.3231722414493561,-0.3038955628871918,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l2,0.0001,0.03154640297492345,0.038132138838991525,98.99333333333334,98.69,2023-11-07_07-49-02,10.0,0.001,cpu,256,42,128576,1531.2944476604462,25.023442417383194,0.6383809447288513,-0.522487461566925,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.0001,0.031546400507291156,0.03813213487528264,98.99333333333334,98.69,2023-11-18_11-39-46,,0.001,cpu,256,42,252175,2817.6281086206436,42.58716145157814,1.0,-0.522487461566925,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,l2,0.0001,0.031546400618056455,0.03813213487528264,98.99333333333334,98.69,2023-11-18_11-35-41,,0.001,cpu,256,42,249627,2587.569214679301,32.74546802788973,0.4184213876724243,-0.32127663493156433,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.1,0.037239516100784145,0.042095251886546614,98.88333333333334,98.6,2023-11-07_07-51-31,10.0,0.001,cpu,256,42,128576,7353.028740525246,50.68479563295841,0.45030057430267334,-0.819862961769104,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.01,0.034731283232197166,0.03609186041536741,98.92,98.77,2023-11-07_07-53-57,10.0,0.001,cpu,256,42,128576,8051.081107974052,59.480857625603676,0.4988082945346832,-1.2238068580627441,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.001,0.0429431129693985,0.05263410745859146,98.62,98.29,2023-11-07_07-56-21,10.0,0.001,cpu,256,42,128576,7722.226238369942,54.027955800294876,0.572693407535553,-0.9566311836242676,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,none,,0.3098265011151632,0.3530068966150284,88.57333333333334,87.12,2023-11-07_08-15-12,10.0,0.001,cpu,256,42,128576,9287.633727431297,70.55649362504482,0.598757266998291,-1.4795109033584595,0.490478515625,,,,,,,,
itaishapira,lenet,FashionMNIST,batch_norm,,0.18468367161750793,0.2991401083469391,93.225,89.76,2023-11-07_08-17-47,10.0,0.001,cpu,256,42,128664,8430.755804359913,65.08057150244713,1.2140557765960693,-0.694479763507843,0.490814208984375,,,,,,,,
itaishapira,lenet,FashionMNIST,layer_norm,,0.16913218270142874,0.30660979795455934,93.795,89.74,2023-11-07_08-20-22,10.0,0.001,cpu,256,42,137536,13392.102032959461,157.8370803296566,1.5042169094085693,-1.1718072891235352,0.524658203125,,,,,,,,
